id,age,occ_title,occ_desc,occ_desig_fromscore,occ_desig,firm_name,firm_type,firm_back_fromscore,occ_oth_title,occ_oth_desc,occ_oth_comp,sector,INDUSTRYSECTOR,sal_a,qual_fromscore,qual_add,educ_fos,exp_fromscore,COMPANYBACKGROUND
1066,44,SENIOR ELECTRICAL ENGINEER,"DESIGN AND DETAILED ENGINEERING OF OIL AND GAS PROJECTS, FEED & PROPOSAL PREPARATION INCLUDING COST ESTIMATE FOR ONSHORE/OFFSHORE OIL & GAS, CHEMICAL / PETROCHEMICAL PLANTS, MINING INCLUDING FPSO TOPSIDES DETAILED ENGINEERING & WELL HEAD PLATFORMS.<br/>       PROCUREMENT OF ELECTRICAL EQUIPMENT MAIN POWER GENERATORS, DGS , TRANSFOMERS, HV/LV SWITCHGEARS, MOTORS ,UPS,  BUSDUCT,, VSD, SYNCHRONOUS MOTORS. <br/>DESIGN/ ISSUE MAIN SINGLE LINE DIAGRAMS, SINGLE LINE DIAGRAMS FOR HVLV SWGR , PROTECTION  SCHEMES, CONTROL SCHEMES FOR MOTORS .<br/> REVIEW / CHECK POWER SYSTEM STUDIES USING ETAP FOR LOAD FLOW, SHORT CIRCUIT & MOTOR STARTING    STUDIES.           <br/>EVALUATION OF VENDOR OFFER INCLUDING BID CLARIFICATION, TECHNICAL BID ANALYSIS & VENDOR DRAWING REVIEW.<br/>",Technical Experts,ELECTRICAL ENGINEER,TECHNIP GEOPRODUCTION (M) SDN. BHD.,Joint Venture,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,"Oil, Gas & Energy","ETP IDENTIFIED : OIL, GAS & ENERGY",21640.41602,Bachelors including Engineering Degree,,ELECTRICAL AND ELECTRONICS ENGINEERING,>15 years,"MSP<br/><br/>ITS FINANCIAL FOR 2013 WERE<br/>REVENUE : RM 1,412,227,913<br/>PROFIT BEFORE TAX : RM 129,694,970<br/>PROFIT AFTER TAX : RM 95,853,881<br/><br/>"
1115,37,MANAGED SERVICE MANAGER,"1. LEADING THE FRONT OFFICE AND NSS TEAM TO ACHIEVE KPI AND SLA. <br/>2. ENSURE OPERATION AND MAINTENANCE ACTIVITIES ON IMS (IP MULTIMEDIA SUBSYSTEM), SOFT SWITCH (SOFTX3000), MEDIA GATEWAY (UMG8900), SG (SIGNALING GATEWAY), AG, CIRCUIT SWITCH (CDMA2000), HLR, AND VLR ETC.<br/>3. PREPARING SHORT-TERM AS WELL AS LONG-TERM PLAN FOR THE NSS TEAM. <br/>4. ANALYSIS THE PROTOCOL SIP, ISUP, IS41, H.248.<br/>5. CREATE DATABASE FOR THE NEW PCM & LINK WITH OTHER EXCHANGES.<br/>6. ANALYZING THE DAILY REPORTS LIKE TRAFFIC REPORT, BUSY HOUR REPORT, SIGNALING UTILIZATION REPORT, NETWORK PERFORMANCE REPORT. <br/>7. TO SYSTEMATIZE THE SWITCH PART OF THE NETWORK, TO KEEP TRACK OF PERFORMANCE, NETWORK FLEXIBILITY, CALLS HANDLING CAPACITY OF DIFFERENT NODES. <br/>8. TO ENSURE CREATION AND MODIFICATION OF THE SYSTEM DATABASE WITH PRECISION, ROUTING & DIGIT TRANSLATION TO DIFFERENT NODES. <br/>9. TO MAINTAIN INVENTORY OF DIFFERENT EQUIPMENT AND FORECASTING THE REQUIREMENTS OF SPARES AND COORDINATING REPAIR-RETURN PROCESS TO ENABLE SMOOTH OPERATION OF THE NETWORK. <br/>10. MONITORING TRAFFIC & REPORTING TO HIGHER AUTHORITY WEEKLY AND PREPARING KPI REPORT FOR CUSTOMER.<br/>11. GENERALIZED CDR FORMAT.<br/>",Technical Experts,MANAGED SERVICE MANAGER,HUAWEI TECHNOLOGIES (MALAYSIA) SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,NA,NA,NA,ICT,ICT,22705.5,Bachelors including Engineering Degree,1) ORACLE CERTIFIED<br/>,ELECTRICAL ,5-10 years,MNC (& MSC MALAYSIA STATUS)<br/><br/>HUAWEI TECHNOLOGIES (MALAYSIA) SDN BHD
1151,39,SUPPORT MANAGER,"?ÇóSETTING BUDGETS AND AGREEING PROJECT TIME SCALES AND DEADLINES WITH CLIENTS.<br/>?ÇóHOLDING WEEKLY INTERNAL AND EXTERNAL MEETINGS ON PROGRESS <br/>?ÇóMANAGING STAFF TO ENSURE THAT ALL MILESTONES ARE ACHIEVED WITHIN THE AGREED TIMEFRAMES.<br/>?ÇóRESPONSIBLE FOR IDENTIFYING, ANALYZING, MEASURING AND MANAGING PROJECT RISKS.<br/>?ÇóCONDUCTING REGULAR IMPACT ANALYSIS IN ORDER TO ASSESS THE CONSEQUENCES OF THE PROJECT DELIVERABLES ON OTHER SECTIONS OF THE BUSINESS<br/>",Technical Experts,PROJECT MANAGER,SCOPE INTERNATIONAL (M) SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,ICT,ICT,23304.91602,Bachelors including Engineering Degree,PMP CERTIFIED PROJECT MANAGER,MECHANICAL,11-15 years,MNC (& MSC MALAYSIA STATUS)<br/><br/>SCOPE INTERNATIONAL (M) SDN BHD
1170,33,LEAD SURF ENGINEER,OFFSHORE INSTALLATION CAMPAIGN IN OIL&GAS SECTOR:<br/>- ENGINEERING<br/>- PROCEDURE<br/>- INTERFACE<br/>- OFFSHORE OPERATION,Technical Experts,LEAD SURF INSTALLATION MANAGER,EP ENGINEERING SDN BHD,Locally Owned,"LLC, LFC, Private IHLs, NGO",,,,Business Services,BUSINESS SERVICES,68554.41406,Master,,MARINE ENGINEERING / OIL,11-15 years,"LLC<br/><br/>ITS FINANCIAL FOR 2014 WERE:<br/>REVENUE : RM 174,802,690<br/>PROFIT BEFORE TAX : RM 3,842,339<br/>PROFIT AFTER TAX : RM 2,659,621"
1277,59,DEPUTY MANAGING DIRECTOR,"ENSURE EXECUTION OF OVERALL OPERATIONAL ACTIVITIES IN LINE OF THE DIRECTIVES OF MANAGING DIRECTOR, IN ORDER TO SECURE MAXIMUM PROFITABILITY OF THE COMPANY.",Top Management (CEO/CFO/COO),DEPUTY MANAGING DIRECTOR,MIPOX MALAYSIA SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Electronics & Electrical,ETP IDENTIFIED SECTOR: ELECTRONICS & ELECTRICAL,,Bachelors including Engineering Degree,,ECONOMICS,>15 years,"MNC<br/><br/>MIPOX MALAYSIA SDN BHD IS INVOLVED IN MANUFACTURING AND TRADING OF LIQUID ABRASIVE, FINISHING TAPE AND COOLANT FOR HARD DISK, FLOPPY DISK, HARD DISK HEAD AND FLOPPY DISK HEAD INDUSTRIES.<br/><br/>IT IS OWNED BY MIPOX CORPORATION (JAPAN)."
1393,57,TECHNICAL MANAGER,TECHNICAL MANAGER FOR DEVELOPMENT OF THE RISK SERVICE FIELDS OF KAPAL BANANG AND MERANTI.<br/>RESPONSIBLE FOR MANAGING SMALL SUBSURFACE TEAM AND ALSO PROVIDING 3D GEOLOGICAL MODELLING EXPERTISE USING PETREL.<br/><br/>RESPONSIBLE FOR PRESENTATIONS TO PMU ON SUBSURFACE TECHNICAL MATTERS. RUNNING THE SUBSURFACE TEAM ON A DAY TO DAY BASIS. WELL PLANNING AND OPERATIONS DURING DRILLING. ONSHORE SUPERVISION OF LOGGING RUNS (MDT ETC).<br/><br/>ALSO PROVIDING INPUT TO WORK PLAN AND BUDGETS ALONG WITH RESERVES REPORTING TO PMU.<br/><br/>WORKING AS PART OF A SMALL TEAM HAS PROVIDED MANY TIME ADVANTAGES ALLOWING THE KAPAL FIELD TO BE DEVELOPED TO FIRST OIL PRODUCTION IN 19 MONTHS FROM INITIAL ACQUISITION OF THE FIELD DATA FROM PETRONAS.<br/>,Technical Experts,TECHNICAL MANAGER,COASTAL ENERGY KBM SDN BHD,Foreign Owned,"LLC, LFC, Private IHLs, NGO",,,,"Oil, Gas & Energy","ETP IDENTIFIED: OIL, GAS & ENERGY",185581.0781,Master,BSC GEOLOGY NEWCASTLE UNIVERSITY 1975-1978,PETROLEUM GEOLOGY,>15 years,"LFC<br/><br/>REVENUE : RM 100,318<br/>LOSS BEFORE & AFTER TAX : (RM 3,725,573)"
1430,32,T-SYSTEMS MALAYSIA SDN.BHD,SAP BASIS CONSULTANT,Technical Experts,SAP BASIS CONSULTANT,T-SYSTEMS MALAYSIA SDN.BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,ICT,ETP IDENTIFIED I.E. ICT,11841,Bachelors including Engineering Degree,,"ELECTRONICS, COMPUTERS & MATHES",11-15 years,"MNC & MSC STATUS COMPANY<br/><br/>GLOBAL REVENUE 2012: EURO 10 BILLION<br/>REVENUE TABLED TO ROC 2013: RM325,230,284<br/>PROFIT BEFORE & AFTER TAX: RM20,407,672"
1490,44,MANAGING DIRECTOR,TO MANAGE A GROUP OF RESTAURANTS AND WINE RETAILS,Technical Experts,MANAGING DIRECTOR (AND MAJOR SHAREHOLDER).<br/><br/>(HE IS A CHEF BY PROFESSION).,RAINBOW OPTION SDN BHD,Joint Venture,Other (SME),,,,Wholesale & Retail,ETP IDENTIFIED SECTOR: WHOLESALE AND RETAIL,18000,Diploma/Vocational/Certificates,,ITALIAN CUISINE,>15 years,"SME<br/><br/>RAINBOW OPTION SDN BHD WAS INCORPORATED IN 2002.<br/><br/>IT OPERATES AN ITALIAN RESTAURANT CALLED SASSOROSSO (AT LORONG YAP KWAN SENG, K.L.) AND ALSO SELLS WINES.<br/><br/>THE RESTAURANT WON THE CERTIFICATE OF EXCELLENCE IN 2013 FROM TRIPADVISOR AND WAS ALSO MENTIONED IN TIMEOUT KL AND MALAYSIA TATLER.<br/><br/>ITS FINANCIALS FOR THE F.Y.E. 30 JUNE 2013 WERE:-<br/>REVENUE: RM3.4 MILLION<br/>PROFIT BEFORE TAX: RM103.8K<br/>PROFIT AFTER TAX: RM78.1K<br/>TABLED TO SSM ON: 31 DEC 2013"
1538,63,"DIRECTOR, HEAD OF RETAIL FOREX",AS PER DETAILS IN RESUME,Technical Experts,DIRECTOR (HEAD OF RETAIL FOREX)<br/><br/>(WITH TECHNICAL EXPERTISE),CIMB BANK BERHAD,Publicly Listed,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Financial Services,ETP IDENTIFIED SECTOR: FINANCIAL SERVICES,130836.5,Bachelors including Engineering Degree,CERTIFIED PUBLIC ACCOUNTANT (AUSTRALIAN SOCIETY OF ACCOUNTANTS)<BR/><BR/>CHARTERED ACCOUNTANT (INSTITUTE OF CHARTERED ACCOUNTANTS AUSTRALIA)<BR/><BR/>CHARTERED SECRETARY AND ADMINISTRATOR (INSTITUTE OF CHARTERED SECRETARIES AND ADMINISTRATORS AUSTRALIA)<BR/><BR/>ASSOCIATE (AUSTRALIAN INSTITUTE OF MANAGEMENT)<BR/><BR/>ASSOCIATE (INSTITUTE OF DIRECTORS),ACCOUNTING & INFORMATION SYSTEMS,>15 years,GLC<br/><br/>CIMB BANK BERHAD
1573,43,BRAND CREATIVE DIRECTOR,DEVELOPING ADVERTISING PLANS FOR ALL AGENCY CLIENTS,Technical Experts,BRAND CREATIVE DIRECTOR,GREY WORLDWIDE SDN BHD,Foreign Owned,Mulnationals/GLC/MYS Strong Performers/ITAPS,,,,Business Services,ETP IDENTIFIED I.E. BUSINESS SERVICES,15000,Bachelors including Engineering Degree,,HUMANITIES,5-10 years,"MNC<br/><br/>GREY GROUP IS A GLOBAL ADVERTISING & MARKETING AGENCY WITH 432 OFFICES IN 96 COUNTRIES. ITS PARENT COMPANY, WPP PLC, IS LISTED ON THE LONDON STOCK EXCHANGE & NASDAQ.<br/><br/>REVENUE TABLED TO ROC 2014: RM70.8 MILLION<br/>PROFIT BEFORE TAX: RM12.3 MILLION<br/>PROFIT AFTER TAX: RM7 MILLION"
1582,43,MANAGING & TECHNICAL DIRECTOR,"TECHNICAL DIRECTOR; DEFINITION AND BUILD OF A CUSTOMER EXPERIENCE MANAGEMENT SOLUTION, LEVERAGING BIG DATA TECHNOLOGIES, FOR USE IN THE TELECOMMUNICATIONS INDUSTRY. INVOLVES CLOSE ENGAGEMENT WITH SERVICE PROVIDERS, VENDORS AND GENERAL RESEARCH IDENTIFYING THE MARKET NEEDS FOR SUCH A CEM SOLUTION AND DESIGNING IF ACCORDINGLY. RESPONSIBILITIES INCLUDE;<br/><br/>?ÇóDEFINITION OF END-TO-END CUSTOMER EXPERIENCE MANAGEMENT SOLUTION<br/>?ÇóDEFINE CEM BUSINESS USE CASES LIBRARY FOR BUSINESS STAKEHOLDERS<br/>?ÇóDESIGN END-TO-END SOLUTION TO SUPPORT DELIVERY OF BUSINESS USE CASES<br/>?ÇóANALYSE AND DEFINE PASSIVE NETWORK PROBES REQUIREMENTS FOR A 2G/3G/LTE ENVIRONMENT<br/>?ÇóDESIGN MEDIATION, STREAMING AND ETL PROCESSING TO BE PERFORMED ON DATA SOURCES INCLUDING PASSIVE PROBE EXPORTS<br/>?ÇóDESIGN OF CEM SOLUTION FOR  REAL-TIME MPP ENVIRONMENT <br/>?ÇóANALYSIS AND DESIGN OF ANALYTICAL MODELS TO DERIVE CEM BUSINESS VALUE<br/>?ÇóDESIGN OF SOLUTION TO INCORPORATE AN INSTALLATION OF HADOOP<br/>?ÇóDESIGN A COMPLEX EVENT PROCESSING CAPABILITY<br/>",Technical Experts,MANAGING & TECHNICAL DIRECTOR<br/><br/>HE AND HIS WIFE ARE ALSO THE MAJOR SHAREHOLDERS (80%),EOLAS COMMUNICATIONS SDN BHD,Joint Venture,Other (SME),,,,ICT,ETP IDENTIFIED I.E. ICT,12000,Master,M.I.E.E.E,ELECTRONIC ENGINEERING,>15 years,"SME<br/><br/>THE COMPANY PROVIDES CUSTOMER EXPERIENCE MANAGEMENT SOLUTIONS FOR THE TELECOMMUNICATIONS INDUSTRY.<br/><br/>REVENUE TABLED TO ROC 2013: RM423,749<br/>PROFIT BEFORE TAX: RM109,263<br/>PROFIT AFTER TAX: RM76,447"
