#,Name
11,"CHIEF EXECUTIVES, SENIOR OFFICIALS & LEGISLATORS"
12,ADMINISTRATIVE AND COMMERCIAL MANAGERS
13,PRODUCTION AND SPECIALIZED SERVICES MANAGERS
14,"HOSPITALITY, RETAIL AND OTHER SERVICES MANAGERS"
21,SCIENCE AND ENGINEERING PROFESSIONALS
22,HEALTH PROFESSIONALS
23,TEACHING PROFESSIONALS
24,BUSINESS AND ADMINISTRATION PROFESSIONALS
25,INFORMATION AND COMMUNICATIONS TECHNOLOGY PROFESSIONALS
26,"LEGAL, SOCIAL AND CULTURAL PROFESSIONALS"
27,"HOSPITALITY, RETAIL AND OTHER SERVICES PROFESSIONALS"
31,SCIENCE AND ENGINEERING ASSOCIATE PROFESSIONALS
32,HEALTH ASSOCIATE PROFESSIONALS
33,BUSINESS AND ADMINISTRATIONS ASSOCIATE PROFESSIONALS
34,"LEGAL, SOCIAL, CULTURAL AND RELATED ASSOCIATE PROFESSIONALS"
35,INFORMATION AND COMMUNICATIONS TECHNICIANS
41,OFFICE CLERKS
42,CUSTOMER SERVICES CLERKS
43,NUMERICAL AND MATERIAL RECORDING CLERKS
44,OTHER CLERICAL SUPPORT WORKERS
51,PERSONAL SERVICES WORKERS
52,SALES WORKERS
53,EDUCATION AND SOCIAL SERVICES WORKERS
54,PROTECTIVE SERVICES WORKERS
61,MARKET-ORIENTED SKILLED AGRICULTURAL AND LIVESTOCK WORKERS
62,"MARKET-ORIENTED SKILLED FORESTRY, FISHERY AND HUNTING WORKERS"
63,"SUBSISTENCE FARMERS, FISHERMAN, HUNTERS AND GATHERERS"
71,"BUILDING AND RELATED TRADES WORKERS, EXCLUDING ELECTRICIANS"
72,"METAL, MACHINERY AND RELATED TRADES WORKERS"
73,HANDICRAFT AND PRINTING WORKERS
74,ELECTRICAL AND ELECTRONIC TRADES WORKERS
75,"FOOD PROCESSING, WOOD WORKING, GARMENT AND OTHER CRAFT AND RELATED TRADES WORKERS"
81,STATIONARY PLANT AND MACHINE OPERATORS
82,ASSEMBLERS
83,DRIVERS AND MOBILE PLANT OPERATORS
91,CLEANERS AND HELPERS
92,"AGRICULTURAL, FORESTRY, FARMING AND FISHERY LABOURERS"
93,"MINING, CONSTRUCTION, MANUFACTURING AND TRANSPORTATION LABOURERS"
94,FOOD PREPARATION ASSISTANT
95,STREET AND RELATED SALES AND SERVICES WORKERS
96,REFUSE WORKERS AND OTHER ELEMENTARY WORKERS
01,THE MALAYSIAN ARMY
02,ROYAL MALAYSIAN NAVY
03,ROYAL MALAYSIAN AIR FORCE
