#,Name
1,MANAGERS
11,"CHIEF EXECUTIVES, SENIOR OFFICIALS & LEGISLATORS"
111,LEGISLATORS AND SENIOR OFFICIALS
1111,Legislators
1112,Senior Government Officials
1113,Traditional Chiefs and Heads of Village
1114,Senior Officials of Special-Interest Organizations
112,MANAGING DIRECTORS AND CHIEF EXECUTIVES
1120,Managing Directors and Chief Executives
12,ADMINISTRATIVE AND COMMERCIAL MANAGERS
121,BUSINESS SERVICES AND ADMINISTRATION MANAGERS
1211,Finance Managers
1212,Human Resource Managers
1213,Policy and Planning Managers
1214,Business Services Managers
1215,Administrative Managers
1219,Business Services and Administration Managers Not Elsewhere Classified
122,"SALES, MARKETING AND DEVELOPMENT MANAGERS"
1221,Sales and Marketing Managers
1222,Advertising and Public Relations Managers
1223,Research and Development Managers
13,PRODUCTION AND SPECIALIZED SERVICES MANAGERS
131,"PRODUCTION MANAGERS IN AGRICULTURE, FORESTRY AND FISHERIES"
1311,Agricultural and Forestry Production Managers
1312,Aquaculture and Fisheries Production Managers
132,"MANUFACTURING, MINING, CONSTRUCTION AND DISTRIBUTION MANAGERS"
1321,Manufacturing Managers
1322,Mining Managers
1323,Construction Managers
1324,"Supply, Distribution and Related Managers"
133,INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICES MANAGERS
1330,Information and Communications Technology Services Managers
134,PROFESSIONALS SERVICES MANAGERS
1341,Child Care Services Managers
1342,Health Services Managers
1343,Aged Care Services Managers
1344,Social Welfare Managers
1345,Education Managers
1346,Financial and Insurance Services Branch Managers
1349,Professional Services Managers Not Elsewhere Classified
14,"HOSPITALITY, RETAIL AND OTHER SERVICES MANAGERS"
141,HOTEL AND RESTAURANT MANAGERS
1411,Hotel Managers
1412,Restaurant Managers
142,RETAIL AND WHOLESALE TRADE MANAGERS
1420,Retail and Wholesale Trade Managers
143,OTHER SERVICES MANAGERS
1431,"Sports, Recreation and Cultural Centre Managers"
1432,"Personal care, Cleaning and Related Services Managers"
1433,Legal Managers
1434,Property Managers
1435,Safety and Security Managers
1439,Services Managers Not Elsewhere Classified
2,PROFESSIONALS
21,SCIENCE AND ENGINEERING PROFESSIONALS
211,"PHYSICISTS, CHEMIST AND RELATED PROFESSIONALS"
2111,Physicists and Astronomers
2112,Meteorologists and Seismologists
2113,Chemists
2114,Geologists and Geophysicists
212,"MATHEMATICIANS, ACTUARIES AND STATISTICIANS "
2120,"Mathematicians, Actuaries and Statisticians"
213,LIFE SCIENCE PROFESSIONALS
2131,"Biologists, Botanists, Zoologists and Related Professionals"
2132,"Farming, Forestry and Fisheries Advisers"
2133,Environmental Protection Professionals
2134,"Pharmacologists, Pathologists and Related Professionals"
214,ENGINEERING PROFESSIONALS (EXCLUDING ELECTROTECHNOLOGY)
2141,Industrial and Production Engineers
2142,Civil Engineers
2143,Environmental Engineers
2144,Mechanical Engineers
2145,Chemical Engineers
2146,"Mining Engineers, Metallurgists and Related Professionals"
2149,Engineering Professionals Not Elsewhere Classified
215,ELECTROTECHNOLOGY ENGINEERS
2151,Electrical Engineers
2152,Electronic Engineers
